Variable,Midwest-Northeast,Midwest-South,Midwest-West,Northeast-South,Northeast-West,South-West,Midwest-Total,Northeast-Total,South-Total,West-Total
Total Crime,0.68044956,0.77491115,0.84055765,0.77444516,0.6096973,0.76508727,1,1,1,1
Active Duty 1941-1947,0,0.12211985,-0.03713042,0,0,0.0251199,-0.01938167,0,0.10015667,0.09943123
Active Duty 1941 & Earlier,0,0,0,0,0,0,0,0,0.04950924,0
Active Duty 1947-1950,-0.03541071,0.19545455,-0.12909944,-0.03541071,-0.06285817,0.04401117,0.05741612,-0.19670601,0.11087737,0.10479125
Active Duty 1950-1955,0.08409567,0.05514288,-0.16870793,0.16669721,-0.06552236,0.17713817,0.21564567,-0.23265831,0.30857594,0.43993029
Active Duty 1955-1964,0.04289257,0.07997179,0.13214671,-0.11928817,8.606e-05,0.09913655,0.31902481,0.09420473,0.2137922,0.42016198
Active Duty 1964-1975,-0.04074567,0.18459994,0.15908598,-0.10578309,0.12578985,0.153973,0.59547014,0.05431562,0.47416392,0.43335736
Active Duty 1975-1990,0.09299842,0.37858185,0.34891358,0.0714736,0.14408865,0.38581298,0.53386345,0.13009019,0.50711457,0.42212277
Active Duty 1990-2001,-0.02900909,0.18842978,0.10512671,0.10869981,-0.04301374,0.26917279,0.53809436,0.20639955,0.50110356,0.14909945
Active Duty 2001-Recent,0.21024454,0.32637053,0.27115364,0.16778296,0.24295618,0.26801183,0.4187458,0.25214451,0.60772095,0.38131333
Active Duty or Veteran,0.07826586,0.48838234,0.37487563,0.03887778,0.02142937,0.546676,0.72650299,0.19012177,0.75270218,0.69759768
Carrying Cash,0.03308518,0.09348788,0.11380638,0.12754274,0.10828416,0.15944998,0.22290967,0.33131445,0.29785735,0.37926522
Born Abroad,0.03767655,0.26783973,0.03655819,-0.17029555,-0.19147345,0.11260908,0.3647612,0.20169795,0.21891668,0.33411514
Born in Territories,-0.19486967,0.07331336,0.16105805,0.16054659,0.04725147,0.11828911,0.26524194,0.09562681,0.36247729,0.26433427
Born in US,0.71346243,0.81016767,0.78642537,0.59106023,0.56710715,0.90798013,0.9949275,0.94845208,0.99073344,0.98877489
Naturalized Citizen,0.06361777,0.02307294,0.1439244,0.15996756,0.11400027,0.27717866,0.3544306,0.33464626,0.46538538,0.39544686
Difficulties Concentrating,0.43939138,0.5233787,0.52800202,0.26353664,0.3525328,0.59972782,0.75982233,0.57459007,0.73933436,0.69836954
