Region,Year,Month,Male,Female,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,AAPI,Native,Asian,Black,White,Hispanic
Midwest,1976,April,3.82E-06,1.24E-06,6.37E-07,1.79E-06,8.26E-07,7.06E-07,4.65E-07,2.07E-07,2.07E-07,0,3.44E-08,0,2.91E-06,2.10E-06,0
Midwest,1976,August,5.06E-06,1.55E-06,8.61E-07,2.32E-06,1.26E-06,6.88E-07,5.85E-07,3.79E-07,2.41E-07,0,1.03E-07,0,3.58E-06,2.86E-06,0
Midwest,1976,December,4.54E-06,1.36E-06,7.40E-07,1.89E-06,9.47E-07,7.57E-07,6.37E-07,4.13E-07,2.93E-07,0,3.44E-08,0,3.06E-06,2.75E-06,0
Midwest,1976,February,4.08E-06,1.91E-06,5.34E-07,1.89E-06,1.03E-06,7.23E-07,6.02E-07,3.10E-07,4.65E-07,0,6.88E-08,0,3.20E-06,2.67E-06,0
Midwest,1976,January,4.35E-06,1.70E-06,6.71E-07,1.98E-06,9.64E-07,6.02E-07,5.68E-07,4.82E-07,6.20E-07,0,8.61E-08,1.72E-08,3.29E-06,2.67E-06,0
Midwest,1976,July,5.58E-06,1.64E-06,6.54E-07,2.58E-06,1.29E-06,8.78E-07,6.37E-07,5.34E-07,3.10E-07,0,1.72E-08,0,3.87E-06,3.24E-06,0
Midwest,1976,June,5.01E-06,1.24E-06,1.05E-06,2.39E-06,1.10E-06,6.20E-07,3.96E-07,1.72E-07,3.61E-07,0,3.44E-08,0,3.68E-06,2.53E-06,0
Midwest,1976,March,4.75E-06,1.46E-06,6.71E-07,1.96E-06,1.22E-06,8.61E-07,5.51E-07,3.79E-07,3.10E-07,0,5.16E-08,3.44E-08,3.79E-06,2.31E-06,0
Midwest,1976,May,4.75E-06,1.24E-06,7.75E-07,2.19E-06,1.03E-06,7.92E-07,5.16E-07,2.93E-07,2.41E-07,0,1.72E-08,1.72E-08,3.63E-06,2.25E-06,0
Midwest,1976,November,4.20E-06,1.19E-06,6.02E-07,1.67E-06,9.29E-07,6.88E-07,5.51E-07,2.75E-07,3.61E-07,0,0,3.44E-08,3.22E-06,2.12E-06,0
Midwest,1976,October,4.39E-06,1.34E-06,7.57E-07,1.70E-06,1.10E-06,8.95E-07,4.65E-07,4.30E-07,1.89E-07,0,6.88E-08,0,3.20E-06,2.46E-06,0
Midwest,1976,September,4.70E-06,1.31E-06,6.71E-07,2.29E-06,1.05E-06,6.54E-07,5.85E-07,1.20E-07,2.93E-07,0,5.16E-08,0,3.29E-06,2.67E-06,0
Midwest,1977,April,4.18E-06,1.32E-06,6.17E-07,1.97E-06,9.94E-07,7.54E-07,5.83E-07,1.71E-07,2.06E-07,0,8.57E-08,3.43E-08,3.02E-06,2.33E-06,0
