,Region,Year,Month,Male,Female,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,AAPI,Native,Asian,Black,White,Hispanic,Total
0,Midwest,1976,April,3.82e-06,1.24e-06,6.37e-07,1.79e-06,8.26e-07,7.06e-07,4.65e-07,2.07e-07,2.07e-07,0.0,3.44e-08,0.0,2.91e-06,2.1e-06,0.0,5.06017573036841e-06
1,Midwest,1976,August,5.06e-06,1.55e-06,8.61e-07,2.32e-06,1.26e-06,6.88e-07,5.85e-07,3.79e-07,2.41e-07,0.0,1.03e-07,0.0,3.58e-06,2.86e-06,0.0,6.60920399822357e-06
2,Midwest,1976,December,4.54e-06,1.36e-06,7.4e-07,1.89e-06,9.47e-07,7.57e-07,6.37e-07,4.13e-07,2.93e-07,0.0,3.44e-08,0.0,3.06e-06,2.75e-06,0.0,5.90353586254225e-06
3,Midwest,1976,February,4.08e-06,1.91e-06,5.34e-07,1.89e-06,1.03e-06,7.23e-07,6.02e-07,3.1e-07,4.65e-07,0.0,6.88e-08,0.0,3.2e-06,2.67e-06,0.0,5.98959297893128e-06
4,Midwest,1976,January,4.35e-06,1.7e-06,6.71e-07,1.98e-06,9.64e-07,6.02e-07,5.68e-07,4.82e-07,6.2e-07,0.0,8.61e-08,1.72e-08,3.29e-06,2.67e-06,0.0,6.07565008791449e-06
5,Midwest,1976,July,5.58e-06,1.64e-06,6.54e-07,2.58e-06,1.29e-06,8.78e-07,6.37e-07,5.34e-07,3.1e-07,0.0,1.72e-08,0.0,3.87e-06,3.24e-06,0.0,7.21160323210846e-06
6,Midwest,1976,June,5.01e-06,1.24e-06,1.05e-06,2.39e-06,1.1e-06,6.2e-07,3.96e-07,1.72e-07,3.61e-07,0.0,3.44e-08,0.0,3.68e-06,2.53e-06,0.0,6.24776428366342e-06
7,Midwest,1976,March,4.75e-06,1.46e-06,6.71e-07,1.96e-06,1.22e-06,8.61e-07,5.51e-07,3.79e-07,3.1e-07,0.0,5.16e-08,3.44e-08,3.79e-06,2.31e-06,0.0,6.21334144683909e-06
8,Midwest,1976,May,4.75e-06,1.24e-06,7.75e-07,2.19e-06,1.03e-06,7.92e-07,5.16e-07,2.93e-07,2.41e-07,0.0,1.72e-08,1.72e-08,3.63e-06,2.25e-06,0.0,5.98959297893128e-06
9,Midwest,1976,November,4.2e-06,1.19e-06,6.02e-07,1.67e-06,9.29e-07,6.88e-07,5.51e-07,2.75e-07,3.61e-07,0.0,0.0,3.44e-08,3.22e-06,2.12e-06,0.0,5.40440444157613e-06
10,Midwest,1976,October,4.39e-06,1.34e-06,7.57e-07,1.7e-06,1.1e-06,8.95e-07,4.65e-07,4.3e-07,1.89e-07,0.0,6.88e-08,0.0,3.2e-06,2.46e-06,0.0,5.73142160754671e-06
11,Midwest,1976,September,4.7e-06,1.31e-06,6.71e-07,2.29e-06,1.05e-06,6.54e-07,5.85e-07,1.2e-07,2.93e-07,0.0,5.16e-08,0.0,3.29e-06,2.67e-06,0.0,6.00680440123157e-06
12,Midwest,1977,April,4.18e-06,1.32e-06,6.17e-07,1.97e-06,9.94e-07,7.54e-07,5.83e-07,1.71e-07,2.06e-07,0.0,8.57e-08,3.43e-08,3.02e-06,2.33e-06,0.0,5.50006180719538e-06
13,Midwest,1977,August,4.8e-06,1.52e-06,8.91e-07,2.31e-06,1.1e-06,6.17e-07,7.37e-07,3.08e-07,2.23e-07,0.0,5.14e-08,1.71e-08,3.39e-06,2.86e-06,0.0,6.32249835605887e-06
14,Midwest,1977,December,4.39e-06,1.41e-06,6.68e-07,1.8e-06,1.08e-06,6.17e-07,5.83e-07,3.94e-07,3.6e-07,0.0,1.71e-08,1.71e-08,3.24e-06,2.52e-06,0.0,5.79134149554403e-06
15,Midwest,1977,February,4.15e-06,1.56e-06,6.51e-07,1.76e-06,1.2e-06,6.85e-07,5.14e-07,3.08e-07,2.74e-07,0.0,1.71e-08,0.0,3.14e-06,2.47e-06,0.0,5.70567100771291e-06
16,Midwest,1977,January,4.23e-06,1.58e-06,6.34e-07,2.14e-06,7.37e-07,6.34e-07,5.48e-07,3.43e-07,4.28e-07,0.0,1.71e-08,0.0,3.24e-06,2.52e-06,0.0,5.80847559222952e-06
17,Midwest,1977,July,4.56e-06,1.25e-06,8.4e-07,2.14e-06,1.03e-06,6.85e-07,4.45e-07,2.23e-07,2.23e-07,0.0,8.57e-08,0.0,3e-06,2.72e-06,0.0,5.80847559222952e-06
18,Midwest,1977,June,3.62e-06,1.11e-06,7.54e-07,1.42e-06,8.22e-07,6.51e-07,4.28e-07,1.37e-07,2.74e-07,0.0,6.85e-08,6.85e-08,2.59e-06,2e-06,0.0,4.74616104324013e-06
19,Midwest,1977,March,4.68e-06,1.59e-06,6.34e-07,2e-06,1.51e-06,6.17e-07,5.48e-07,4.28e-07,1.88e-07,0.0,1.71e-08,1.71e-08,3.51e-06,2.71e-06,0.0,6.2710960915436e-06
20,Midwest,1977,May,4.51e-06,1.44e-06,8.05e-07,1.85e-06,1.2e-06,7.37e-07,6.17e-07,3.77e-07,1.71e-07,0.0,5.14e-08,1.71e-08,3.17e-06,2.67e-06,0.0,5.94554835514468e-06
21,Midwest,1977,November,4.39e-06,1.39e-06,6.34e-07,1.95e-06,1.15e-06,6.17e-07,6.85e-07,1.88e-07,3.43e-07,0.0,3.43e-08,1.71e-08,3e-06,2.71e-06,0.0,5.77420739856496e-06
22,Midwest,1977,October,4.3e-06,1.3e-06,6.85e-07,2.14e-06,1.06e-06,6e-07,4.28e-07,2.91e-07,1.54e-07,0.0,5.14e-08,1.71e-08,3.1e-06,2.43e-06,0.0,5.60286641284956e-06
23,Midwest,1977,September,4.99e-06,1.66e-06,9.08e-07,1.99e-06,1.23e-06,8.91e-07,7.03e-07,3.77e-07,2.74e-07,0.0,3.43e-08,1.71e-08,3.68e-06,2.88e-06,0.0,6.64804596974261e-06
24,Midwest,1978,April,4.03e-06,1.26e-06,5.46e-07,2.01e-06,8.87e-07,6.31e-07,4.95e-07,2.22e-07,2.73e-07,0.0,8.53e-08,1.71e-08,2.76e-06,2.41e-06,0.0,5.28968616481647e-06
25,Midwest,1978,August,4.25e-06,1.55e-06,8.36e-07,1.98e-06,1.13e-06,6.31e-07,4.95e-07,2.22e-07,2.56e-07,0.0,1.71e-08,1.71e-08,3.04e-06,2.71e-06,0.0,5.8015897925257e-06
26,Midwest,1978,December,5.53e-06,1.26e-06,7e-07,2.68e-06,1.25e-06,7.34e-07,6.48e-07,3.07e-07,1.88e-07,0.0,3.41e-08,0.0,3.45e-06,3.26e-06,0.0,6.79126939656439e-06
27,Midwest,1978,February,3.94e-06,1.35e-06,7.68e-07,1.55e-06,9.38e-07,5.8e-07,4.61e-07,4.1e-07,2.39e-07,0.0,3.41e-08,0.0,2.9e-06,2.32e-06,0.0,5.28968616481647e-06
28,Midwest,1978,January,4.27e-06,1.42e-06,6.14e-07,1.89e-06,1.04e-06,7.85e-07,4.78e-07,2.9e-07,2.22e-07,0.0,3.41e-08,0.0,2.97e-06,2.66e-06,0.0,5.68214563612097e-06
29,Midwest,1978,July,4.56e-06,1.47e-06,6.14e-07,2e-06,1.16e-06,9.04e-07,5.12e-07,2.22e-07,3.24e-07,0.0,3.41e-08,5.12e-08,3.07e-06,2.85e-06,0.0,6.0234146166644e-06
30,Midwest,1978,June,3.98e-06,1.18e-06,6.48e-07,1.86e-06,9.04e-07,5.63e-07,5.63e-07,1.88e-07,2.73e-07,0.0,1.71e-08,0.0,3e-06,2.05e-06,0.0,5.15317848654853e-06
31,Midwest,1978,March,4.27e-06,1.57e-06,5.63e-07,1.74e-06,1.23e-06,8.19e-07,5.97e-07,3.24e-07,2.9e-07,0.0,1.71e-08,1.71e-08,3.17e-06,2.63e-06,0.0,5.83571669176689e-06
32,Midwest,1978,May,3.94e-06,1.42e-06,5.63e-07,2.05e-06,1.04e-06,5.46e-07,4.1e-07,2.9e-07,2.73e-07,0.0,1.71e-08,0.0,2.8e-06,2.51e-06,0.0,5.35793999707359e-06
33,Midwest,1978,November,4.2e-06,1.3e-06,6.83e-07,1.91e-06,1.08e-06,5.97e-07,4.78e-07,2.56e-07,2.9e-07,0.0,5.12e-08,5.12e-08,3.21e-06,2.08e-06,0.0,5.49444764739001e-06
34,Midwest,1978,October,4.21e-06,1.19e-06,5.12e-07,1.96e-06,8.87e-07,8.02e-07,4.95e-07,3.07e-07,2.05e-07,0.0,1.71e-08,0.0,2.95e-06,2.39e-06,0.0,5.4091303680982e-06
35,Midwest,1978,September,5.02e-06,1.42e-06,8.36e-07,2.24e-06,1.06e-06,9.21e-07,5.63e-07,2.9e-07,3.75e-07,0.0,1.71e-08,1.71e-08,3.62e-06,2.78e-06,0.0,6.45000067828797e-06
36,Midwest,1979,April,4.24e-06,1.45e-06,6.8e-07,1.65e-06,9.36e-07,7.83e-07,5.1e-07,3.23e-07,3.57e-07,0.0,5.1e-08,1.7e-08,3.1e-06,2.5e-06,0.0,5.69887600215499e-06
37,Midwest,1979,August,4.95e-06,1.72e-06,7.14e-07,2.48e-06,1.19e-06,1.04e-06,3.91e-07,2.55e-07,3.57e-07,0.0,3.4e-08,1.7e-08,3.05e-06,3.47e-06,0.0,6.66853226788723e-06
38,Midwest,1979,December,5.1e-06,1.51e-06,6.46e-07,2.53e-06,1.24e-06,8.34e-07,5.61e-07,3.74e-07,1.53e-07,0.0,3.4e-08,0.0,3.32e-06,3.2e-06,0.0,6.61749775101456e-06
39,Midwest,1979,February,4.29e-06,1.62e-06,5.61e-07,2.4e-06,1.05e-06,4.76e-07,5.44e-07,3.23e-07,2.72e-07,0.0,3.4e-08,1.7e-08,3.35e-06,2.48e-06,0.0,5.90301424154427e-06
40,Midwest,1979,January,4.53e-06,1.34e-06,4.93e-07,1.89e-06,1.21e-06,6.97e-07,5.1e-07,4.76e-07,3.74e-07,0.0,3.4e-08,0.0,2.81e-06,3.01e-06,0.0,5.86899120446596e-06
41,Midwest,1979,July,5.34e-06,1.6e-06,7.49e-07,2.4e-06,1.55e-06,7.49e-07,5.27e-07,3.06e-07,4.08e-07,0.0,1.7e-08,1.7e-08,3.28e-06,3.49e-06,0.0,6.94071631403536e-06
42,Midwest,1979,June,4.64e-06,1.51e-06,7.31e-07,2.08e-06,1.38e-06,6.29e-07,4.93e-07,3.4e-07,2.89e-07,0.0,1.7e-08,1.7e-08,3.16e-06,2.91e-06,0.0,6.15818698217904e-06
43,Midwest,1979,March,4.63e-06,1.79e-06,7.14e-07,2.35e-06,1.39e-06,7.83e-07,4.76e-07,2.55e-07,1.87e-07,0.0,3.4e-08,5.1e-08,3.37e-06,2.94e-06,0.0,6.41335965770069e-06
44,Midwest,1979,May,4.61e-06,1.36e-06,7.31e-07,2.01e-06,1.16e-06,6.8e-07,5.61e-07,2.89e-07,2.89e-07,0.0,8.51e-08,0.0,3.15e-06,2.74e-06,0.0,5.97106031200614e-06
45,Midwest,1979,November,5.46e-06,1.58e-06,4.59e-07,2.69e-06,1.41e-06,9.36e-07,6.8e-07,3.57e-07,3.4e-07,0.0,3.4e-08,1.7e-08,3.86e-06,3.05e-06,0.0,7.04278531196354e-06
46,Midwest,1979,October,6.12e-06,1.82e-06,1.07e-06,3.16e-06,1.45e-06,8.68e-07,3.74e-07,3.06e-07,4.42e-07,0.0,3.4e-08,0.0,4.29e-06,3.59e-06,0.0,7.96140582650223e-06
47,Midwest,1979,September,4.98e-06,1.46e-06,6.46e-07,2.38e-06,1.17e-06,7.66e-07,5.95e-07,3.06e-07,3.06e-07,0.0,5.1e-08,0.0,3.13e-06,3.23e-06,0.0,6.4473826760359e-06
48,Midwest,1980,April,4.52e-06,1.41e-06,5.78e-07,2.26e-06,1.29e-06,5.78e-07,4.08e-07,3.57e-07,2.72e-07,0.0,1.7e-08,0.0,3.11e-06,2.79e-06,6.8e-08,5.92873512579414e-06
49,Midwest,1980,August,6.66e-06,1.38e-06,9.34e-07,3.01e-06,1.73e-06,1e-06,6.12e-07,2.38e-07,3.23e-07,0.0,1.7e-08,3.4e-08,4.81e-06,3.16e-06,1.7e-07,8.03521134940157e-06
50,Midwest,1980,December,4.81e-06,1.53e-06,7.98e-07,1.95e-06,1.72e-06,8.15e-07,4.76e-07,2.55e-07,1.7e-07,0.0,1.7e-08,0.0,3.52e-06,2.79e-06,8.49e-08,6.33644054758705e-06
51,Midwest,1980,February,4.76e-06,1.48e-06,4.93e-07,2.16e-06,1.36e-06,8.32e-07,5.44e-07,2.38e-07,3.23e-07,0.0,1.7e-08,6.8e-08,3.28e-06,2.87e-06,6.8e-08,6.23451420783331e-06
52,Midwest,1980,January,4.4e-06,1.61e-06,5.61e-07,2.24e-06,1.05e-06,8.83e-07,3.74e-07,2.21e-07,1.53e-07,0.0,1.7e-08,1.7e-08,3.07e-06,2.89e-06,8.49e-08,6.01367376920855e-06
53,Midwest,1980,July,5.79e-06,1.6e-06,1e-06,2.79e-06,1.34e-06,7.47e-07,5.78e-07,3.74e-07,3.23e-07,0.0,3.4e-08,1.7e-08,4.15e-06,3.19e-06,1.02e-07,7.38967878463522e-06
54,Midwest,1980,June,4.81e-06,1.46e-06,6.12e-07,2.41e-06,1.19e-06,6.8e-07,5.44e-07,3.06e-07,2.72e-07,0.0,3.4e-08,0.0,3.43e-06,2.82e-06,2.04e-07,6.28547737911983e-06
55,Midwest,1980,March,4.42e-06,1.36e-06,6.12e-07,2.09e-06,1.21e-06,5.27e-07,5.95e-07,2.04e-07,3.4e-07,0.0,1.7e-08,3.4e-08,3.01e-06,2.67e-06,8.49e-08,5.79283328159123e-06
56,Midwest,1980,May,5.28e-06,1.82e-06,1e-06,2.9e-06,1.33e-06,5.44e-07,5.61e-07,2.89e-07,2.55e-07,0.0,6.8e-08,0.0,3.58e-06,3.43e-06,1.19e-07,7.10088776559072e-06
57,Midwest,1980,November,4.52e-06,1.48e-06,7.13e-07,1.95e-06,1.38e-06,5.78e-07,5.27e-07,2.04e-07,3.57e-07,0.0,1.7e-08,0.0,3.13e-06,2.85e-06,6.8e-08,5.99668604096961e-06
58,Midwest,1980,October,5.5e-06,1.6e-06,6.29e-07,2.67e-06,1.63e-06,6.97e-07,6.12e-07,3.57e-07,3.4e-07,0.0,1.7e-08,1.7e-08,3.94e-06,3.13e-06,1.53e-07,7.10088776559072e-06
59,Midwest,1980,September,5.25e-06,1.87e-06,7.98e-07,2.16e-06,1.73e-06,9.85e-07,5.61e-07,3.4e-07,2.89e-07,0.0,5.1e-08,1.7e-08,3.67e-06,3.38e-06,1.7e-07,7.11787547484975e-06
60,Midwest,1981,April,4.33e-06,1.26e-06,4.24e-07,1.77e-06,1.37e-06,6.79e-07,5.09e-07,2.72e-07,3.06e-07,0.0,3.39e-08,0.0,2.85e-06,2.63e-06,1.36e-07,5.58457748819345e-06
61,Midwest,1981,August,5.48e-06,1.7e-06,9.17e-07,2.61e-06,1.49e-06,7.3e-07,6.79e-07,2.72e-07,2.89e-07,0.0,0.0,1.02e-07,4.02e-06,3.02e-06,4.24e-07,7.18016532801155e-06
62,Midwest,1981,December,5.08e-06,1.46e-06,4.58e-07,2.27e-06,1.51e-06,5.26e-07,6.96e-07,4.41e-07,3.56e-07,0.0,5.09e-08,3.39e-08,3.63e-06,2.82e-06,4.58e-07,6.53514076315934e-06
63,Midwest,1981,February,4.5e-06,1.32e-06,5.6e-07,2.02e-06,1.19e-06,6.96e-07,4.92e-07,2.55e-07,3.06e-07,0.0,5.09e-08,0.0,2.94e-06,2.83e-06,1.7e-07,5.82221839158917e-06
64,Midwest,1981,January,5.38e-06,1.56e-06,6.45e-07,2.39e-06,1.43e-06,7.81e-07,6.62e-07,3.9e-07,2.72e-07,0.0,1.7e-08,0.0,3.45e-06,3.46e-06,1.7e-07,6.94252474731939e-06
65,Midwest,1981,July,5.16e-06,1.36e-06,7.47e-07,2.07e-06,1.34e-06,8.32e-07,6.62e-07,2.21e-07,2.72e-07,0.0,0.0,1.7e-08,3.56e-06,2.92e-06,3.39e-07,6.51816642698618e-06
66,Midwest,1981,June,4.92e-06,1.22e-06,5.77e-07,2.24e-06,1.39e-06,7.98e-07,4.75e-07,1.87e-07,2.55e-07,0.0,1.7e-08,8.49e-08,3.73e-06,2.31e-06,3.73e-07,6.14473095605968e-06
67,Midwest,1981,March,4.96e-06,1.36e-06,6.96e-07,1.95e-06,1.44e-06,5.6e-07,7.47e-07,3.56e-07,3.06e-07,0.0,3.39e-08,1.7e-08,3.56e-06,2.58e-06,1.53e-07,6.31447436910194e-06
68,Midwest,1981,May,4.7e-06,1.29e-06,5.6e-07,1.94e-06,1.14e-06,8.49e-07,7.47e-07,2.89e-07,2.89e-07,0.0,6.79e-08,0.0,3.33e-06,2.6e-06,3.9e-07,5.99196185959786e-06
69,Midwest,1981,November,4.11e-06,1.39e-06,5.6e-07,2e-06,1.05e-06,6.11e-07,4.92e-07,3.39e-07,2.21e-07,0.0,5.09e-08,6.79e-08,2.97e-06,2.39e-06,3.23e-07,5.49970572332631e-06
70,Midwest,1981,October,4.18e-06,1.34e-06,5.26e-07,1.95e-06,1.34e-06,5.26e-07,4.92e-07,2.89e-07,2.21e-07,0.0,3.39e-08,1.7e-08,2.97e-06,2.48e-06,4.24e-07,5.51668007678718e-06
71,Midwest,1981,September,4.45e-06,1.39e-06,6.79e-07,2.31e-06,1.22e-06,5.09e-07,4.58e-07,2.89e-07,2.21e-07,0.0,1.7e-08,6.79e-08,3.07e-06,2.66e-06,3.39e-07,5.83919273979763e-06
72,Midwest,1982,April,3.78e-06,1.75e-06,6.29e-07,2.01e-06,1.11e-06,5.44e-07,4.76e-07,2.38e-07,2.38e-07,0.0,5.1e-08,1.7e-08,2.98e-06,2.45e-06,2.55e-07,5.54569908667708e-06
73,Midwest,1982,August,5.04e-06,1.67e-06,9.7e-07,2.25e-06,1.45e-06,6.97e-07,6.8e-07,3.06e-07,2.04e-07,0.0,5.1e-08,1.7e-08,3.23e-06,3.4e-06,3.57e-07,6.70246679868773e-06
74,Midwest,1982,December,4.46e-06,1.46e-06,6.12e-07,1.91e-06,1.34e-06,8.17e-07,5.1e-07,2.55e-07,2.55e-07,0.0,6.8e-08,5.1e-08,3.16e-06,2.64e-06,1.87e-07,5.91994761051408e-06
75,Midwest,1982,February,3.54e-06,1.29e-06,4.93e-07,1.55e-06,1.09e-06,5.61e-07,3.23e-07,1.87e-07,3.23e-07,0.0,0.0,5.1e-08,2.67e-06,2.09e-06,2.72e-07,4.83122424316675e-06
76,Midwest,1982,January,4.25e-06,1.5e-06,5.1e-07,2.18e-06,1.04e-06,7.14e-07,5.27e-07,2.21e-07,2.72e-07,0.0,3.4e-08,1.7e-08,3.2e-06,2.5e-06,1.19e-07,5.76684595850981e-06
77,Midwest,1982,July,4.83e-06,1.62e-06,6.29e-07,2.31e-06,1.55e-06,6.46e-07,4.08e-07,2.89e-07,2.55e-07,0.0,3.4e-08,1.7e-08,3.74e-06,2.62e-06,2.72e-07,6.4472975655553e-06
78,Midwest,1982,June,4.18e-06,1.12e-06,4.76e-07,1.94e-06,1.12e-06,5.78e-07,4.76e-07,3.23e-07,1.87e-07,0.0,1.7e-08,5.1e-08,3.3e-06,1.94e-06,1.7e-07,5.30754086230035e-06
79,Midwest,1982,March,3.96e-06,1.39e-06,6.63e-07,1.7e-06,1.17e-06,6.12e-07,4.25e-07,1.53e-07,3.57e-07,0.0,1.7e-08,5.1e-08,2.99e-06,2.3e-06,2.38e-07,5.35857477212431e-06
80,Midwest,1982,May,4.25e-06,1.02e-06,3.4e-07,2.06e-06,1.02e-06,7.14e-07,3.91e-07,3.57e-07,2.55e-07,0.0,0.0,0.0,2.99e-06,2.28e-06,4.25e-07,5.27351825415609e-06
81,Midwest,1982,November,4.17e-06,1.39e-06,4.59e-07,1.82e-06,1.39e-06,5.1e-07,4.59e-07,2.55e-07,3.74e-07,0.0,1.7e-08,1.7e-08,2.84e-06,2.65e-06,3.06e-07,5.56271038626375e-06
82,Midwest,1982,October,4.07e-06,1.41e-06,8.68e-07,1.55e-06,1.21e-06,5.95e-07,3.91e-07,3.4e-07,3.23e-07,0.0,3.4e-08,1.7e-08,3.11e-06,2.3e-06,2.04e-07,5.49466518618076e-06
83,Midwest,1982,September,4.41e-06,1.43e-06,4.93e-07,2.04e-06,1.31e-06,7.31e-07,5.27e-07,2.04e-07,2.21e-07,0.0,3.4e-08,0.0,3.18e-06,2.6e-06,2.55e-07,5.83489114007221e-06
84,Midwest,1983,April,3.17e-06,1.29e-06,5.28e-07,1.5e-06,9.71e-07,4.6e-07,4.6e-07,1.36e-07,2.73e-07,0.0,3.41e-08,6.82e-08,2.44e-06,1.93e-06,2.9e-07,4.46402557655326e-06
85,Midwest,1983,August,4.52e-06,1.53e-06,4.43e-07,1.91e-06,1.67e-06,7.67e-07,4.26e-07,1.7e-07,3.58e-07,0.0,3.41e-08,5.11e-08,3.36e-06,2.57e-06,2.56e-07,6.04857948128395e-06
86,Midwest,1983,December,4.28e-06,1.96e-06,5.28e-07,2.33e-06,1.23e-06,6.99e-07,5.45e-07,3.92e-07,3.75e-07,0.0,1.7e-08,1.7e-08,3.42e-06,2.78e-06,2.56e-07,6.23599966965053e-06
87,Midwest,1983,February,3.71e-06,1.01e-06,4.26e-07,1.84e-06,9.2e-07,4.6e-07,4.26e-07,2.73e-07,1.87e-07,0.0,0.0,6.82e-08,2.57e-06,2.06e-06,2.21e-07,4.71959895674806e-06
88,Midwest,1983,January,3.99e-06,1.21e-06,5.62e-07,1.82e-06,1.07e-06,5.96e-07,3.75e-07,1.87e-07,2.56e-07,0.0,1.7e-08,5.11e-08,3.27e-06,1.86e-06,1.53e-07,5.19666909197987e-06
89,Midwest,1983,July,4.8e-06,1.07e-06,6.99e-07,1.87e-06,1.53e-06,7.16e-07,3.92e-07,3.24e-07,2.21e-07,0.0,3.41e-08,6.82e-08,3.25e-06,2.52e-06,4.94e-07,5.87819746143882e-06
90,Midwest,1983,June,3.32e-06,1.23e-06,4.09e-07,1.57e-06,1.14e-06,4.6e-07,4.43e-07,2.39e-07,1.19e-07,0.0,1.7e-08,0.0,2.68e-06,1.86e-06,2.21e-07,4.54921671046837e-06
