Year,Month,Region,Total Crime,Active Duty 1941-1947,Active Duty 1941 & Earlier,Active Duty 1947-1950,Active Duty 1950-1955,Active Duty 1955-1964,Active Duty 1964-1975,Active Duty 1975-1990,Active Duty 1990-2001,Active Duty 2001-Recent,Active Duty or Veteran,Carrying Cash,Born Abroad,Born in Territories,Born in US,Naturalized Citizen,Difficulties Concentrating,Difficulties Dressing,Difficulties Going Outside,Difficulties Hearing,Difficulties Seeing,Difficulties with Stairs,Employed,Hate Crime towards Disabled,Hate Crime towards Ethnicity,Hate Crime towards Gender,Hate Crime towards Race,Hate Crime towards Religion,Hate Crime towards Sexuality,High Income,Low Income,Middle Income,Worked in the past 2 Weeks,Worked in the past 6 Months,Worked in the past Week,Federal Employee,Non-Profit Employee,Private Employee,Self-employed,State Employee,Lived at Address 10-15 Years,Lived at Address 15+ Years,Lived at Address 5-10 Years,Lived at Address 0-5 Years,Living on a Reservation,Living at a Dormitory,Living at a House,Living at a NonPermanent Hotel,Living at a Permanent Hotel,Living at a Permanent Mobile Home,Works in Agriculture,Works in Construction,Works in Entertainment,Works in Finance,Works in Government,Works in Manufacturing,Works in Personal Services,Works in Professional Services,Works in Repair Services,Works in Retail Trade,Works in Transportation,Works in Wholesale Trade,Pregnant,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,Hispanic,AAPI,Native,Asian,Black,Multiracial,White,Associates Degree,Bachelors Degree,High School Degree,Less than High School,Masters Degree,Doctorate Degree,Professional Degree,Divorced,Married,Single,Separated,Widowed,College Student,Not a Student,K-12 Student,Trade Student,Vocational Student,Female,Male,Not Heterosexual Identifying,Works in City,Works in Rural Location,Works in Suburb
1996,1,Midwest,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,NA,NA,NA,NA,NA,NA,0,179,56,19,23,165,NA,NA,NA,NA,NA,25,41,39,99,NA,1,272,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,62,70,83,30,20,8,5,NA,NA,NA,NA,NA,NA,0,0,0,147,0,0,0,62,142,58,10,10,21,260,0,0,0,117,165,NA,101,19,29
1996,1,Northeast,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,0,149,74,17,21,141,NA,NA,NA,NA,NA,34,43,37,93,NA,3,240,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,34,63,87,36,15,9,12,NA,NA,NA,NA,NA,NA,0,0,0,111,0,0,0,34,135,59,6,15,19,227,0,0,1,108,141,NA,75,16,48
1996,1,South,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,0,320,109,22,33,280,NA,NA,NA,NA,NA,44,54,87,159,NA,2,416,0,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,92,125,130,57,25,34,30,NA,NA,NA,NA,NA,NA,0,0,0,249,0,0,0,70,266,83,24,30,27,441,0,0,3,187,288,NA,191,22,44
1996,1,West,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,0,270,91,17,25,246,NA,NA,NA,NA,NA,27,50,53,137,NA,0,378,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,77,111,110,46,20,19,70,NA,NA,NA,NA,NA,NA,0,0,0,153,0,0,0,70,197,83,19,21,33,355,0,4,0,170,222,NA,175,18,30
1996,2,Midwest,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,0,209,60,15,18,183,NA,NA,NA,NA,NA,36,40,40,107,NA,2,293,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,60,82,82,33,18,15,3,NA,NA,NA,NA,NA,NA,0,0,0,169,0,0,0,47,168,69,9,11,19,278,0,2,2,128,176,NA,101,27,35
1996,2,Northeast,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,0,137,52,11,11,134,NA,NA,NA,NA,NA,31,37,35,75,NA,4,204,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,38,57,54,33,18,9,15,NA,NA,NA,NA,NA,NA,0,0,0,89,0,0,0,36,105,50,13,10,22,189,0,2,0,90,124,NA,69,10,51
1996,2,South,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,0,285,111,13,21,262,NA,NA,NA,NA,NA,33,61,63,167,NA,2,388,0,0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,66,115,124,75,31,19,44,NA,NA,NA,NA,NA,NA,0,0,0,207,0,0,0,71,237,71,36,21,21,408,0,0,6,177,261,NA,171,18,43
1996,2,West,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,NA,0,252,82,18,34,211,NA,NA,NA,NA,NA,29,37,57,114,NA,0,338,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,67,95,113,48,19,11,56,NA,NA,NA,NA,NA,NA,0,0,0,141,0,0,0,66,181,78,17,18,38,317,0,1,3,146,214,NA,134,19,38
1996,3,Midwest,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,0,183,62,13,22,174,NA,NA,NA,NA,NA,29,46,40,97,NA,4,273,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,52,75,78,42,15,16,9,NA,NA,NA,NA,NA,NA,0,0,0,146,0,0,0,64,143,58,10,9,17,263,0,1,2,113,171,NA,98,22,36
1996,3,Northeast,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,0,108,49,11,15,101,NA,NA,NA,NA,NA,22,31,22,71,NA,1,177,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,54,59,25,12,8,7,NA,NA,NA,NA,NA,NA,0,0,0,79,0,0,0,18,102,49,5,6,15,158,0,0,4,71,109,NA,57,9,34
