"","Region","Year","Month","referenceSex_male","referenceSex_female","referenceSex_unknown","reference_age_10s","reference_age_20s","reference_age_30s","reference_age_40s","reference_age_50s","reference_age_60s","reference_age_70sOlder","reference_age_Unknown","reference_raceAAPI","reference_raceAmericanIndian","reference_raceAsian","reference_raceBlack","reference_raceWhite","reference_raceUnknown","reference_hispanic_yes","reference_hispanic_unknown","offernderRelation_boyfriend_girlfriend_yes","offernderRelation_child_yes","offernderRelation_employee_yes","offernderRelation_exspouse_yes","offernderRelation_friend_yes","offernderRelation_otherRelative_yes","offernderRelation_parent_yes","offernderRelation_sibling_yes","offernderRelation_spouse_yes","offernderRelation_suporvisor_yes","Total"
"1","Midwest",1976,"April",3.82095138827255e-06,1.23922907689589e-06,0,6.36826245245558e-07,1.78999706257956e-06,8.26152888562651e-07,7.05672301629286e-07,4.64711083771743e-07,2.0653828623875e-07,2.0653828623875e-07,0,0,3.44230507058314e-08,0,2.90874359975606e-06,2.09980392127611e-06,1.72115253900117e-08,0,5.06017573036841e-06,1.72115241457649e-07,1.37692195491603e-07,1.72115253900117e-08,6.88461002267164e-08,3.61441972756929e-07,5.16345755033699e-08,1.20480672175247e-07,1.72115253900117e-08,6.19614730520057e-07,0,5.06017573036841e-06
"2","Midwest",1976,"August",5.06017573036841e-06,1.54903610622417e-06,0,8.60575910829792e-07,2.32355325951986e-06,1.25644058117894e-06,6.88460787866686e-07,5.85191699958303e-07,3.78653491925974e-07,2.40961329612859e-07,5.16345755033699e-08,0,1.0326914834061e-07,0,3.57999092129742e-06,2.85710917177809e-06,6.88461002267164e-08,0,6.60920399822357e-06,1.37692195491603e-07,2.0653828623875e-07,0,0,5.1634563527996e-07,5.16345755033699e-08,1.0326914834061e-07,6.88461002267164e-08,5.67980184344094e-07,0,6.60920399822357e-06
"3","Midwest",1976,"December",4.54383244104852e-06,1.35970959976809e-06,0,7.40095327821689e-07,1.89326602629092e-06,9.4663346120249e-07,7.5730684069558e-07,6.36826245245558e-07,4.130765295974e-07,2.92595892674295e-07,1.72115253900117e-08,0,3.44230507058314e-08,0,3.06364686791531e-06,2.75384030782382e-06,5.16345755033699e-08,0,5.90353586254225e-06,8.60576244317817e-08,1.54903718511722e-07,0,6.88461002267164e-08,5.85191699958303e-07,1.37692195491603e-07,1.0326914834061e-07,6.88461002267164e-08,6.88460787866686e-07,0,5.90353586254225e-06
"4","Midwest",1976,"February",4.07912325288625e-06,1.91047751909496e-06,0,5.33557152004922e-07,1.89326602629092e-06,1.03269100416929e-06,7.22883814873605e-07,6.02403215276276e-07,3.0980741325033e-07,4.64711083771743e-07,6.88461002267164e-08,0,6.88461002267164e-08,0,3.20133864156733e-06,2.66778291297478e-06,5.16345755033699e-08,0,5.98959297893128e-06,2.23749808073923e-07,1.89326763885295e-07,1.72115241457649e-07,1.72115253900117e-08,4.99134118480806e-07,8.60576244317817e-08,1.37692195491603e-07,1.89326763885295e-07,6.02403215276276e-07,1.72115253900117e-08,5.98959297893128e-06
"5","Midwest",1976,"January",4.35450650158597e-06,1.70393958500668e-06,1.72115253900117e-08,6.71249274029894e-07,1.97932348779288e-06,9.63844970299504e-07,6.02403215276276e-07,5.67980184344094e-07,4.81922601385415e-07,6.19614730520057e-07,3.44230507058314e-08,0,8.60576244317817e-08,1.72115253900117e-08,3.28739599027792e-06,2.66778291297478e-06,1.72115253900117e-08,0,6.07565008791449e-06,2.0653828623875e-07,1.37692195491603e-07,1.72115253900117e-08,0,3.61441972756929e-07,6.88461002267164e-08,1.54903718511722e-07,1.0326914834061e-07,5.50768668211604e-07,0,6.07565008791449e-06
"6","Midwest",1976,"July",5.576518752856e-06,1.63509359734969e-06,0,6.54037759674822e-07,2.58172551071987e-06,1.29086358841224e-06,8.77787421407986e-07,6.36826245245558e-07,5.33557152004922e-07,3.0980741325033e-07,5.16345755033699e-08,0,1.72115253900117e-08,0,3.8725857664831e-06,3.23576158185145e-06,8.60576244317817e-08,0,7.21160323210846e-06,2.23749808073923e-07,1.20480672175247e-07,0,5.16345755033699e-08,6.54037759674822e-07,1.54903718511722e-07,8.60576244317817e-08,8.60576244317817e-08,6.19614730520057e-07,0,7.21160323210846e-06
"7","Midwest",1976,"June",5.00854141325625e-06,1.23922907689589e-06,0,1.04990251178512e-06,2.39239919977919e-06,1.10153703307725e-06,6.19614730520057e-07,3.95865011020827e-07,1.72115241457649e-07,3.61441972756929e-07,8.60576244317817e-08,0,3.44230507058314e-08,0,3.68325969993609e-06,2.53009106585651e-06,0,0,6.24776428366342e-06,1.89326763885295e-07,6.88461002267164e-08,0,8.60576244317817e-08,7.05672301629286e-07,8.60576244317817e-08,3.44230507058314e-08,1.37692195491603e-07,5.1634563527996e-07,0,6.24776428366342e-06
"8","Midwest",1976,"March",4.75036978881413e-06,1.46297860769275e-06,0,6.71249274029894e-07,1.96211199595174e-06,1.22201757253866e-06,8.60575910829792e-07,5.50768668211604e-07,3.78653491925974e-07,3.0980741325033e-07,5.16345755033699e-08,0,5.16345755033699e-08,3.44230507058314e-08,3.78652846791033e-06,2.30634177382546e-06,3.44230507058314e-08,0,6.21334144683909e-06,1.72115241457649e-07,1.37692195491603e-07,0,0,5.67980184344094e-07,0,6.88461002267164e-08,1.72115253900117e-08,5.33557152004922e-07,0,6.21334144683909e-06
"9","Midwest",1976,"May",4.75036978881413e-06,1.23922907689589e-06,0,7.74518353051191e-07,2.18586136500396e-06,1.03269100416929e-06,7.91729865110565e-07,5.1634563527996e-07,2.92595892674295e-07,2.40961329612859e-07,1.72115253900117e-08,0,1.72115253900117e-08,1.72115253900117e-08,3.63162531194981e-06,2.25470731474281e-06,6.88461002267164e-08,0,5.98959297893128e-06,2.40961329612859e-07,1.89326763885295e-07,1.72115253900117e-08,0,5.33557152004922e-07,3.44230507058314e-08,1.0326914834061e-07,1.89326763885295e-07,7.5730684069558e-07,1.72115253900117e-08,5.98959297893128e-06
"10","Midwest",1976,"November",4.19960343360702e-06,1.18759456271343e-06,1.72115253900117e-08,6.02403215276276e-07,1.66951659177066e-06,9.29421951587196e-07,6.88460787866686e-07,5.50768668211604e-07,2.75384372024068e-07,3.61441972756929e-07,6.88461002267164e-08,0,0,3.44230507058314e-08,3.21855011185751e-06,2.11701541074738e-06,3.44230507058314e-08,0,5.40440444157613e-06,1.89326763885295e-07,2.92595892674295e-07,0,1.72115253900117e-08,5.50768668211604e-07,3.44230507058314e-08,5.16345755033699e-08,8.60576244317817e-08,4.130765295974e-07,1.72115253900117e-08,5.40440444157613e-06
