Region,Variable,Time,Count,Anomaly
Midwest,AAPI,2002-01-01,0,No
Midwest,AAPI,2002-02-01,0,No
Midwest,AAPI,2002-03-01,0,No
Midwest,AAPI,2002-04-01,0,No
Midwest,AAPI,2002-05-01,0,No
Midwest,AAPI,2002-06-01,0,No
Midwest,AAPI,2002-07-01,0,No
Midwest,AAPI,2002-08-01,0,No
Midwest,AAPI,2002-09-01,0,No
Midwest,AAPI,2002-10-01,0,No
Midwest,AAPI,2002-11-01,1,Yes
Midwest,AAPI,2002-12-01,0,No
Midwest,AAPI,2003-01-01,0,No
Midwest,AAPI,2003-02-01,1,No
Midwest,AAPI,2003-03-01,0,No
Midwest,AAPI,2003-04-01,0,No
Midwest,AAPI,2003-05-01,1,No
Midwest,AAPI,2003-06-01,0,No
Midwest,AAPI,2003-07-01,0,No
Midwest,AAPI,2003-08-01,0,No
Midwest,AAPI,2003-09-01,0,No
Midwest,AAPI,2003-10-01,0,No
Midwest,AAPI,2003-11-01,0,No
Midwest,AAPI,2003-12-01,0,No
Midwest,AAPI,2004-01-01,0,No
Midwest,AAPI,2004-02-01,0,No
Midwest,AAPI,2004-03-01,0,No
Midwest,AAPI,2004-04-01,0,No
Midwest,AAPI,2004-05-01,0,No
Midwest,AAPI,2004-06-01,0,No
Midwest,AAPI,2004-07-01,0,No
Midwest,AAPI,2004-08-01,0,No
Midwest,AAPI,2004-09-01,0,No
Midwest,AAPI,2004-10-01,0,No
Midwest,AAPI,2004-11-01,0,No
Midwest,AAPI,2004-12-01,0,No
Midwest,AAPI,2005-01-01,0,No
Midwest,AAPI,2005-02-01,0,No
Midwest,AAPI,2005-03-01,0,No
Midwest,AAPI,2005-04-01,0,No
Midwest,AAPI,2005-05-01,0,No
Midwest,AAPI,2005-06-01,0,No
Midwest,AAPI,2005-07-01,0,No
Midwest,AAPI,2005-08-01,0,No
Midwest,AAPI,2005-09-01,0,No
Midwest,AAPI,2005-10-01,0,No
Midwest,AAPI,2005-11-01,0,No
Midwest,AAPI,2005-12-01,0,No
Midwest,AAPI,2006-01-01,0,No
Midwest,AAPI,2006-02-01,0,No
Midwest,AAPI,2006-03-01,0,No
Midwest,AAPI,2006-04-01,0,No
Midwest,AAPI,2006-05-01,0,No
Midwest,AAPI,2006-06-01,0,No
Midwest,AAPI,2006-07-01,0,No
Midwest,AAPI,2006-08-01,0,No
Midwest,AAPI,2006-09-01,0,No
Midwest,AAPI,2006-10-01,0,No
Midwest,AAPI,2006-11-01,0,No
Midwest,AAPI,2006-12-01,0,No
Midwest,AAPI,2007-01-01,0,No
Midwest,AAPI,2007-02-01,0,No
Midwest,AAPI,2007-03-01,0,No
Midwest,AAPI,2007-04-01,1,No
Midwest,AAPI,2007-05-01,0,No
